date,value,target
24.12.2021 15:00,50596.62,0
24.12.2021 14:45,51153.38,1
24.12.2021 14:30,51062.09,0
24.12.2021 14:15,51165.81,1
24.12.2021 14:00,51001.40,0
24.12.2021 13:45,51154.50,1
24.12.2021 13:30,50949.09,1
24.12.2021 13:15,50883.51,0
24.12.2021 13:00,50964.18,1
24.12.2021 12:45,50894.54,1
24.12.2021 12:30,50879.69,0
24.12.2021 12:15,50994.18,0
24.12.2021 12:00,51022.53,0
24.12.2021 11:45,51067.61,0
24.12.2021 11:30,51138.00,0
24.12.2021 11:15,51255.05,1
24.12.2021 11:00,51136.57,0
24.12.2021 10:45,51217.65,1
24.12.2021 10:30,51085.99,0
24.12.2021 10:15,51087.97,0
24.12.2021 10:00,51234.84,1
24.12.2021 09:45,51196.71,0
24.12.2021 09:30,51259.69,1
24.12.2021 09:15,51128.26,1
24.12.2021 09:00,51069.99,0
24.12.2021 08:45,51100.00,0
24.12.2021 08:30,51150.00,1
24.12.2021 08:15,51061.79,1
24.12.2021 08:00,50973.08,1
24.12.2021 07:45,50945.99,0
24.12.2021 07:30,51025.00,1
24.12.2021 07:15,50996.49,1
24.12.2021 07:00,50845.81,0
24.12.2021 06:45,50961.36,1
24.12.2021 06:30,50926.21,1
24.12.2021 06:15,50820.00,0
24.12.2021 06:00,50967.76,1
24.12.2021 05:45,50950.13,1
24.12.2021 05:30,50893.38,0
24.12.2021 05:15,50947.90,1
24.12.2021 05:00,50903.31,0
24.12.2021 04:45,51067.22,1
24.12.2021 04:30,51030.32,0
24.12.2021 04:15,51085.75,1
24.12.2021 04:00,51037.26,1
24.12.2021 03:45,51011.42,0
24.12.2021 03:30,51018.60,0
24.12.2021 03:15,51095.45,1
24.12.2021 03:00,51015.92,0
24.12.2021 02:45,51045.73,0
24.12.2021 02:30,51185.70,0
24.12.2021 02:15,51188.95,0
24.12.2021 02:00,51342.77,1
24.12.2021 01:45,51195.66,1
24.12.2021 01:30,51180.00,1
24.12.2021 01:15,51137.44,1
24.12.2021 01:00,50860.00,1
24.12.2021 00:45,50771.02,0
24.12.2021 00:30,50783.25,1
24.12.2021 00:15,50637.92,0
24.12.2021 00:00,50800.01,1
23.12.2021 23:45,50664.01,1
23.12.2021 23:30,50662.11,1
23.12.2021 23:15,50643.91,0
23.12.2021 23:00,50803.43,0
23.12.2021 22:45,50876.69,1
23.12.2021 22:30,50815.69,1
23.12.2021 22:15,50740.02,0
